number,name,status
3112,Bytes literals in Python 3000,
3111,Simple input built-in in Python 3000,
3110,Catching Exceptions in Python 3000,
3109,Raising Exceptions in Python 3000,
3107,Function Annotations,
3105,Make print a function,
3106,"Revamping dict.keys(), .values() and .items()",
3108,Standard Library Reorganization,
3102,Keyword-Only Arguments,
3104,Access to Names in Outer Scopes,
3103,A Switch/Case Statement,
3100,Miscellaneous Python 3.0 Plans,
3101,Advanced String Formatting,
3003,Python Language Moratorium,
3099,Things that will Not Change in Python 3000,
3001,Procedure for reviewing and improving standard library modules,
3000,Python 3000,
3002,Procedure for Backwards-Incompatible Changes,
710,Recording the provenance of installed packages,
712,Adding a “converter” parameter to dataclasses.field,
711,PyBI: a standard format for distributing Python Binaries,
713,Callable Modules,
754,IEEE 754 Floating Point Special Values,
801,Reserved,
708,Extending the Repository API to Mitigate Dependency Confusion Attacks,
707,A simplified signature for __exit__ and __aexit__,
705,TypedMapping: Type Hints for Mappings with a Fixed Set of Keys,
709,Inlined comprehensions,
706,Filter for tarfile.extractall,
703,Making the Global Interpreter Lock Optional in CPython,
704,Require virtual environments by default for package installers,
702,Marking deprecations using the type system,
700,Additional Fields for the Simple API for Package Indexes,
701,Syntactic formalization of f-strings,
694,Upload 2.0 API for Python Package Repositories,
695,Type Parameter Syntax,
699,Remove private dict version field added in PEP 509,
696,Type defaults for TypeVarLikes,
697,Limited C API for Extending Opaque Types,
698,Override Decorator for Static Typing,
690,Lazy Imports,
689,Unstable C API tier,
693,Python 3.12 Release Schedule,
692,Using TypedDict for more precise **kwargs typing,
691,JSON-based Simple API for Python Package Indexes,
687,Isolating modules in the standard library,
688,Making the buffer protocol accessible in Python,
684,A Per-Interpreter GIL,
685,Comparison of extra names for optional distribution dependencies,
686,Make UTF-8 mode default,
683,"Immortal Objects, Using a Fixed Refcount",
682,Format Specifier for Signed Zero,
681,Data Class Transforms,
679,Allow parentheses in assert statements,
680,tomllib: Support for Parsing TOML in the Standard Library,
678,Enriching Exceptions with Notes,
677,Callable Type Syntax,
676,PEP Infrastructure Process,
675,Arbitrary Literal String Type,
673,Self Type,
674,Disallow using macros as l-values,
671,Syntax for late-bound function argument defaults,
672,Unicode-related Security Considerations for Python,
669,Low Impact Monitoring for CPython,
670,Convert macros to functions in the Python C API,
667,Consistent views of namespaces,
668,Marking Python base environments as “externally managed”,
666,Reject Foolish Indentation,
665,A file format to list Python dependencies for reproducibility of an application,
662,Editable installs via virtual wheels,
664,Python 3.11 Release Schedule,
663,"Standardizing Enum str(), repr(), and format() behaviors",
660,Editable installs for pyproject.toml based builds (wheel based),
661,Sentinel Values,
659,Specializing Adaptive Interpreter,
658,Serve Distribution Metadata in the Simple Repository API,
656,Platform Tag for Linux Distributions Using Musl,
657,Include Fine Grained Error Locations in Tracebacks,
653,Precise Semantics for Pattern Matching,
654,Exception Groups and except*,
652,Maintaining the Stable ABI,
655,Marking individual TypedDict items as required or potentially-missing,
651,Robust Stack Overflow Handling,
647,User-Defined Type Guards,
648,Extensible customizations of the interpreter at startup,
649,Deferred Evaluation Of Annotations Using Descriptors,
646,Variadic Generics,
650,Specifying Installer Requirements for Python Projects,
643,Metadata for Package Source Distributions,
644,Require OpenSSL 1.1.1 or newer,
645,Allow writing optional types as ,
642,Explicit Pattern Syntax for Structural Pattern Matching,
640,Unused variable syntax,
641,Using an underscore in the version portion of Python 3.10 compatibility tags,
637,Support for indexing with keyword arguments,
638,Syntactic Macros,
639,Improving License Clarity with Better Package Metadata,
635,Structural Pattern Matching: Motivation and Rationale,
636,Structural Pattern Matching: Tutorial,
632,Deprecate distutils module,
634,Structural Pattern Matching: Specification,
633,Dependency specification in pyproject.toml using an exploded TOML table,
630,Isolating Extension Modules,
628,Add ,
629,Versioning PyPI’s Simple API,
627,Recording installed projects,
631,Dependency specification in pyproject.toml based on PEP 508,
626,Precise line numbers for debugging and other tools.,
625,Filename of a Source Distribution,
624,Remove Py_UNICODE encoder APIs,
623,Remove wstr from Unicode,
620,Hide implementation details from the C API,
621,Storing project metadata in pyproject.toml,
618,Add Optional Length-Checking To zip,
615,Support for the IANA Time Zone Database in the Standard Library,
619,Python 3.10 Release Schedule,
622,Structural Pattern Matching,
614,Relaxing Grammar Restrictions On Decorators,
612,Parameter Specification Variables,
616,String methods to remove prefixes and suffixes,
617,New PEG parser for CPython,
613,Explicit Type Aliases,
611,The one million limit,
609,Python Packaging Authority (PyPA) Governance,
610,Recording the Direct URL Origin of installed distributions,
607,Reducing CPython’s Feature Delivery Latency,
606,Python Compatibility Version,
608,Coordinated Python release,
600,Future ‘manylinux’ Platform Tags for Portable Linux Built Distributions,
601,Forbid return/break/continue breaking out of finally,
602,Annual Release Cycle for Python,
605,A rolling feature release stream for CPython,
603,Adding a frozenmap type to collections,
604,Allow writing union types as ,
595,Improving bugs.python.org,
598,Introducing incremental feature releases,
597,Add optional EncodingWarning,
599,The manylinux2014 Platform Tag,
596,Python 3.9 Release Schedule,
593,Flexible function and variable annotations,
594,Removing dead batteries from the standard library,
590,Vectorcall: a fast calling protocol for CPython,
591,Adding a final qualifier to typing,
592,Adding “Yank” Support to the Simple API,
589,TypedDict: Type Hints for Dictionaries with a Fixed Set of Keys,
585,Type Hinting Generics In Standard Collections,
588,GitHub Issues Migration Plan,
586,Literal Types,
587,Python Initialization Configuration,
584,Add Union Operators To dict,
582,Python local packages directory,
583,A Concurrency Memory Model for Python,
579,Refactoring C functions and methods,
580,The C call protocol,
578,Python Runtime Audit Hooks,
581,Using GitHub Issues for CPython,
577,Augmented Assignment Expressions,
576,Rationalize Built-in function classes,
573,Module State Access from C Extension Methods,
574,Pickle protocol 5 with out-of-band data,
575,Unifying function/method classes,
572,Assignment Expressions,
571,The manylinux2010 Platform Tag,
568,Generator-sensitivity for Context Variables,
567,Context Variables,
569,Python 3.8 Release Schedule,
570,Python Positional-Only Parameters,
565,Show DeprecationWarning in __main__,
566,Metadata for Python Software Packages 2.1,
561,Distributing and Packaging Type Information,
562,Module __getattr__ and __dir__,
563,Postponed Evaluation of Annotations,
564,Add new time functions with nanosecond resolution,
559,Built-in noop(),
560,Core support for typing module and generic types,
558,Defined semantics for locals(),
556,Threaded garbage collection,
557,Data Classes,
555,Context-local variables (contextvars),
554,Multiple Interpreters in the Stdlib,
549,Instance Descriptors,
550,Execution Context,
551,Security transparency in the Python runtime,
552,Deterministic pycs,
553,Built-in breakpoint(),
546,Backport ssl.MemoryBIO and ssl.SSLObject to Python 2.7,
547,Running extension modules using the -m option,
548,More Flexible Loop Control,
545,Python Documentation Translations,
543,A Unified TLS API for Python,
544,Protocols: Structural subtyping (static duck typing),
542,Dot Notation Assignment In Function Header,
540,Add a new UTF-8 Mode,
539,A New C-API for Thread-Local Storage in CPython,
541,Package Index Name Retention,
535,Rich comparison chaining,
536,Final Grammar for Literal String Interpolation,
538,Coercing the legacy C locale to a UTF-8 based locale,
537,Python 3.7 Release Schedule,
531,Existence checking operators,
532,A circuit breaking protocol and binary operators,
530,Asynchronous Comprehensions,
533,Deterministic cleanup for iterators,
534,Improved Errors for Missing Standard Library Modules,
529,Change Windows filesystem encoding to UTF-8,
527,Removing Un(der)used file types/extensions on PyPI,
528,Change Windows console encoding to UTF-8,
526,Syntax for Variable Annotations,
525,Asynchronous Generators,
520,Preserving Class Attribute Definition Order,
521,Managing global context via ‘with’ blocks in generators and coroutines,
522,Allow BlockingIOError in security sensitive APIs,
523,Adding a frame evaluation API to CPython,
524,Make os.urandom() blocking on Linux,
519,Adding a file system path protocol,
515,Underscores in Numeric Literals,
516,Build system abstraction for pip/conda etc,
514,Python registration in the Windows registry,
517,A build-system independent format for source trees,
518,Specifying Minimum Build System Requirements for Python Projects,
513,A Platform Tag for Portable Linux Built Distributions,
512,Migrating from hg.python.org to GitHub,
511,API for code transformers,
509,Add a private version to dict,
510,Specialize functions with guards,
503,Simple Repository API,
507,Migrate CPython to Git and GitLab,
508,Dependency specification for Python Software Packages,
505,None-aware operators,
506,Adding A Secrets Module To The Standard Library,
504,Using the System RNG by default,
500,A protocol for delegating datetime methods to their tzinfo implementations,
501,General purpose string interpolation,
502,String Interpolation - Extended Discussion,
498,Literal String Interpolation,
499,,
496,Environment Markers,
497,A standard mechanism for backward compatibility,
495,Local Time Disambiguation,
494,Python 3.6 Release Schedule,
493,HTTPS verification migration tools for Python 2.7,
492,Coroutines with async and await syntax,
490,Chain exceptions at C level,
489,Multi-phase extension module initialization,
487,Simpler customisation of class creation,
491,The Wheel Binary Package Format 1.9,
486,Make the Python Launcher aware of virtual environments,
488,Elimination of PYO files,
485,A Function for testing approximate equality,
481,"Migrate CPython to Git, Github, and Phabricator",
484,Type Hints,
483,The Theory of Type Hints,
482,Literature Overview for Type Hints,
480,Surviving a Compromise of PyPI: End-to-end signing of packages,
479,Change StopIteration handling inside generators,
478,Python 3.5 Release Schedule,
477,Backport ensurepip (PEP 453) to Python 2.7,
476,Enabling certificate verification by default for stdlib http clients,
475,Retry system calls failing with EINTR,
473,Adding structured data to built-in exceptions,
472,Support for indexing with keyword arguments,
474,Creating forge.python.org,
468,Preserving the order of **kwargs in a function.,
469,Migration of dict iteration code to Python 3,
471,os.scandir() function – a better and faster directory iterator,
470,Removing External Hosting Support on PyPI,
467,Minor API improvements for binary sequences,
466,Network Security Enhancements for Python 2.7.x,
465,A dedicated infix operator for matrix multiplication,
464,Removal of the PyPI Mirror Authenticity API,
463,Exception-catching expressions,
461,Adding % formatting to bytes and bytearray,
462,Core development workflow automation for CPython,
460,Add binary interpolation and formatting,
459,Standard Metadata Extensions for Python Software Packages,
455,Adding a key-transforming dictionary to collections,
457,Notation For Positional-Only Parameters,
456,Secure and interchangeable hash algorithm,
458,Secure PyPI downloads with signed repository metadata,
454,Add a new tracemalloc module to trace Python memory allocations,
453,Explicit bootstrapping of pip in Python installations,
452,API for Cryptographic Hash Functions v2.0,
451,A ModuleSpec Type for the Import System,
450,Adding A Statistics Module To The Standard Library,
449,Removal of the PyPI Mirror Auto Discovery and Naming Scheme,
448,Additional Unpacking Generalizations,
447,Add __getdescriptor__ method to metaclass,
446,Make newly created file descriptors non-inheritable,
445,Add new APIs to customize Python memory allocators,
444,Python Web3 Interface,
443,Single-dispatch generic functions,
441,Improving Python ZIP Application Support,
442,Safe object finalization,
440,Version Identification and Dependency Specification,
439,Inclusion of implicit pip bootstrap in Python installation,
438,Transitioning to release-file hosting on PyPI,
437,"A DSL for specifying signatures, annotations and argument converters",
436,The Argument Clinic DSL,
435,Adding an Enum type to the Python standard library,
434,IDLE Enhancement Exception for All Branches,
433,Easier suppression of file descriptor inheritance,
432,Restructuring the CPython startup sequence,
431,Time zone support improvements,
430,Migrating to Python 3 as the default online documentation,
429,Python 3.4 Release Schedule,
428,The pathlib module – object-oriented filesystem paths,
426,Metadata for Python Software Packages 2.0,
425,Compatibility Tags for Built Distributions,
427,The Wheel Binary Package Format 1.0,
424,A method for exposing a length hint,
423,Naming conventions and recipes related to packaging,
421,Adding sys.implementation,
420,Implicit Namespace Packages,
422,Simpler customisation of class creation,
418,"Add monotonic time, performance counter, and process time functions",
419,Protecting cleanup statements from interruptions,
416,Add a frozendict builtin type,
417,Including mock in the Standard Library,
415,Implement context suppression with exception attributes,
414,Explicit Unicode Literal for Python 3.3,
413,Faster evolution of the Python Standard Library,
412,Key-Sharing Dictionary,
411,Provisional packages in the Python standard library,
410,Use decimal.Decimal type for timestamps,
409,Suppressing exception context,
408,Standard library __preview__ package,
407,New release cycle and introducing long-term support versions,
406,Improved Encapsulation of Import State,
405,Python Virtual Environments,
404,Python 2.8 Un-release Schedule,
402,Simplified Package Layout and Partitioning,
401,BDFL Retirement,
400,Deprecate codecs.StreamReader and codecs.StreamWriter,
403,General purpose decorator clause (aka “@in” clause),
399,Pure Python/C Accelerator Module Compatibility Requirements,
398,Python 3.3 Release Schedule,
396,Module Version Numbers,
397,Python launcher for Windows,
395,Qualified Names for Modules,
394,The “python” Command on Unix-Like Systems,
393,Flexible String Representation,
392,Python 3.2 Release Schedule,
391,Dictionary-Based Configuration For Logging,
389,argparse - New Command Line Parsing Module,
390,Static metadata for Distutils,
387,Backwards Compatibility Policy,
386,Changing the version comparison module in Distutils,
385,Migrating from Subversion to Mercurial,
384,Defining a Stable ABI,
383,Non-decodable Bytes in System Character Interfaces,
381,Mirroring infrastructure for PyPI,
382,Namespace Packages,
380,Syntax for Delegating to a Subgenerator,
379,Adding an Assignment Expression,
378,Format Specifier for Thousands Separator,
377,Allow __enter__() methods to skip the statement body,
376,Database of Installed Python Distributions,
375,Python 3.1 Release Schedule,
374,Choosing a distributed VCS for the Python project,
372,Adding an ordered dictionary to collections,
373,Python 2.7 Release Schedule,
370,Per user site-packages directory,
371,Addition of the multiprocessing package to the standard library,
369,Post import hooks,
367,New Super,
368,Standard image protocol and class,
366,Main module explicit relative imports,
365,Adding the pkg_resources module,
364,Transitioning to the Py3K Standard Library,
363,Syntax For Dynamic Attribute Access,
361,Python 2.6 and 3.0 Release Schedule,
360,Externally Maintained Packages,
362,Function Signature Object,
359,The “make” Statement,
357,Allowing Any Object to be Used for Slicing,
356,Python 2.5 Release Schedule,
355,Path - Object oriented filesystem paths,
358,The “bytes” Object,
354,Enumerations in Python,
353,Using ssize_t as the index type,
352,Required Superclass for Exceptions,
350,Codetags,
351,The freeze protocol,
349,Allow str() to return unicode strings,
348,Exception Reorganization for Python 3.0,
347,Migrating the Python CVS to Subversion,
345,Metadata for Python Software Packages 1.2,
344,Exception Chaining and Embedded Tracebacks,
346,User Defined (”,
343,The “with” Statement,
342,Coroutines via Enhanced Generators,
341,Unifying try-except and try-finally,
339,Design of the CPython Compiler,
340,Anonymous Block Statements,
338,Executing modules as scripts,
337,Logging Usage in the Standard Library,
336,Make None Callable,
335,Overloadable Boolean Operators,
334,Simple Coroutines via SuspendIteration,
333,Python Web Server Gateway Interface v1.0,
332,Byte vectors and String/Unicode Unification,
331,Locale-Independent Float/String Conversions,
330,Python Bytecode Verification,
329,Treating Builtins as Constants in the Standard Library,
328,Imports: Multi-Line and Absolute/Relative,
327,Decimal Data Type,
326,A Case for Top and Bottom Values,
325,Resource-Release Support for Generators,
324,subprocess - New process module,
323,Copyable Iterators,
322,Reverse Iteration,
321,Date/Time Parsing and Formatting,
318,Decorators for Functions and Methods,
320,Python 2.4 Release Schedule,
319,Python Synchronize/Asynchronize Block,
317,Eliminate Implicit Exception Instantiation,
316,Programming by Contract for Python,
315,Enhanced While Loop,
314,Metadata for Python Software Packages 1.1,
313,Adding Roman Numeral Literals to Python,
312,Simple Implicit Lambda,
310,Reliable Acquisition/Release Pairs,
311,Simplified Global Interpreter Lock Acquisition for Extensions,
309,Partial Function Application,
308,Conditional Expressions,
306,How to Change Python’s Grammar,
305,CSV File API,
307,Extensions to the pickle protocol,
304,Controlling Generation of Bytecode Files,
303,Extend divmod() for Multiple Divisors,
302,New Import Hooks,
301,Package Index and Metadata for Distutils,Either “success” or “fail”.
299,Special __main__() function in modules,
298,The Locked Buffer Interface,
297,Support for System Upgrades,
296,Adding a bytes Object Type,
294,Type Names in the types Module,
295,Interpretation of multiline string constants,
292,Simpler String Substitutions,
293,Codec Error Handling Callbacks,
291,Backward Compatibility for the Python 2 Standard Library,
290,Code Migration and Modernization,
288,Generators Attributes and Exceptions,
289,Generator Expressions,
286,Enhanced Argument Tuples,
287,reStructuredText Docstring Format,
285,Adding a bool type,
284,Integer for-loops,
283,Python 2.3 Release Schedule,
282,A Logging System,
280,Optimizing access to globals,
281,Loop Counter Iteration with range and xrange,
279,The enumerate() built-in function,
278,Universal Newline Support,
276,Simple Iterator for ints,
277,Unicode file name support for Windows NT,
274,Dict Comprehensions,
275,Switching on Multiple Values,
271,Prefixing sys.path by command line option,
273,Import Modules from Zip Archives,
272,API for Block Encryption Algorithms v1.0,
270,uniq method for list objects,
269,Pgen Module for Python,
268,Extended HTTP functionality and WebDAV,
267,Optimized Access to Module Namespaces,
266,Optimizing Global Variable/Attribute Access,
265,Sorting Dictionaries by Value,
264,Future statements in simulated shells,
263,Defining Python Source Code Encodings,
261,Support for “wide” Unicode characters,
262,A Database of Installed Python Packages,
260,Simplify xrange(),
259,Omit printing newline after newline,
258,Docutils Design Specification,
256,Docstring Processing System Framework,
255,Simple Generators,
257,Docstring Conventions,
254,Making Classes Look More Like Types,
253,Subtyping Built-in Types,
252,Making Types Look More Like Classes,
251,Python 2.2 Release Schedule,
250,Using site-packages on Windows,
248,Python Database API Specification v1.0,
247,API for Cryptographic Hash Functions,
249,Python Database API Specification v2.0,
246,Object Adaptation,
245,Python Interface Syntax,
244,The ,
243,Module Repository Upload Mechanism,
241,Metadata for Python Software Packages,
240,Adding a Rational Literal to Python,
239,Adding a Rational Type to Python,
242,Numeric Kinds,
238,Changing the Division Operator,
237,Unifying Long Integers and Integers,
227,Statically Nested Scopes,
228,Reworking Python’s Numeric Model,
226,Python 2.1 Release Schedule,
236,Back to the __future__,
225,Elementwise/Objectwise Operators,
224,Attribute Docstrings,
235,Import on Case-Insensitive Platforms,
223,Change the Meaning of ,
234,Iterators,
222,Web Library Enhancements,
233,Python Online Help,
232,Function Attributes,
231,__findattr__(),
229,Using Distutils to Build Python,
230,Warning Framework,
206,Python Advanced Library,
204,Range Literals,
205,Weak References,
203,Augmented Assignments,
202,List Comprehensions,
201,Lockstep Iteration,
200,Python 2.0 Release Schedule,
160,Python 1.6 Release Schedule,
103,Collecting information about git,
102,Doing Python Micro Releases,
101,Doing Python Releases 101,
100,Python Unicode Integration,
42,Feature Requests,
20,The Zen of Python,
13,Python Language Governance,
12,Sample reStructuredText PEP Template,
10,Voting Guidelines,
11,CPython platform support,
9,Sample Plaintext PEP Template,
8,Style Guide for Python Code,
6,Bug Fix Releases,
7,Style Guide for C Code,
5,Guidelines for Language Evolution,
2,Procedure for Adding New Modules,
3,Guidelines for Handling Bug Reports,
4,Deprecation of Standard Modules,
